"S.No.","Year","State","Industry","Count","Last.Update","Funding_Lakhs","Valuation_Lakhs"
1,2024,"Assam","Advertising",1,"30-04-2025",1473.50872461684,29247.2431588738
2,2024,"Assam","Architecture Interior Design",1,"30-04-2025",3952.11042044684,25021.5665048968
3,2024,"Assam","Automotive",3,"30-04-2025",2074.43576296791,33111.3006779558
4,2024,"Assam","Chemicals",3,"30-04-2025",4420.93614982441,37776.968453513
5,2024,"Assam","Telecommunication & Networking",2,"30-04-2025",4705.31305725453,91164.7088600708
6,2024,"Assam","Construction",59,"30-04-2025",275.504671980161,2606.39171900134
7,2024,"Assam","Agriculture",41,"30-04-2025",2664.12216583267,22637.0977261337
8,2024,"Assam","Aeronautics Aerospace & Defence",1,"30-04-2025",4467.47426975053,63376.4882395929
9,2024,"Assam","AI",9,"30-04-2025",2779.60332160583,15584.7130971415
10,2024,"Assam","Green Technology",10,"30-04-2025",2310.24293975206,13594.3857382064
11,2024,"Assam","Fashion",5,"30-04-2025",4786.3250594819,82307.6309573695
12,2024,"Assam","Finance Technology",8,"30-04-2025",2294.00407314533,15998.4238706013
13,2024,"Assam","Food & Beverages",15,"30-04-2025",3403.97464549169,19660.3061348925
14,2024,"Assam","Design",6,"30-04-2025",2884.53533968423,27084.4274378133
15,2024,"Assam","Education",16,"30-04-2025",559.477179194801,3550.69866455653
16,2024,"Assam","Renewable Energy",6,"30-04-2025",4504.13360348903,57351.3108545556
17,2024,"Assam","Technology Hardware",8,"30-04-2025",1268.13428505557,20213.8855550647
18,2024,"Assam","Healthcare & Lifesciences",35,"30-04-2025",258.194690977689,4596.29354444558
19,2024,"Assam","Internet of Things",1,"30-04-2025",1673.20756044937,20356.9093585253
20,2024,"Assam","IT Services",24,"30-04-2025",4774.79306327878,45276.0756710036
21,2024,"Assam","Human Resources",2,"30-04-2025",4453.21961451555,75805.4529492122
22,2024,"Assam","Marketing",6,"30-04-2025",3479.37686047517,49864.4732768544
23,2024,"Assam","Non- Renewable Energy",2,"30-04-2025",3220.50872815307,60743.4343909361
24,2024,"Assam","Pets & Animals",1,"30-04-2025",4971.6353942873,89850.4068307054
25,2024,"Assam","Media & Entertainment",11,"30-04-2025",3295.74370562332,56982.3360852223
26,2024,"Assam","Retail",6,"30-04-2025",3557.2258174303,17938.8332081948
27,2024,"Assam","House-Hold Services",6,"30-04-2025",2743.12682232121,40415.5171806739
28,2024,"Assam","Professional & Commercial Services",13,"30-04-2025",2991.00300121354,33339.1080666043
29,2024,"Assam","Sports",1,"30-04-2025",1481.34069960797,23172.5872598103
30,2024,"Assam","Social Impact",3,"30-04-2025",778.212554194033,13121.4699015789
31,2024,"Assam","Social Network",1,"30-04-2025",4816.96995105594,64372.2620062391
32,2024,"Assam","Textiles & Apparel",7,"30-04-2025",4516.3802733412,51473.3980916423
33,2024,"Assam","Indic Language Startups",1,"30-04-2025",3468.99112819228,67101.6430470208
34,2024,"Assam","Transportation & Storage",8,"30-04-2025",3987.56371755153,66187.9713765182
35,2024,"Assam","Logistics",2,"30-04-2025",171.8377383193,2201.81910506472
36,2024,"Assam","Travel & Tourism",12,"30-04-2025",2415.09005690459,27482.1954128254
37,2024,"Assam","Security Solutions",4,"30-04-2025",3804.37471073819,64115.5943398498
38,2024,"Assam","Real Estate",1,"30-04-2025",1121.21928237611,19127.0525043905
39,2024,"Assam","Other Specialty Retailers",1,"30-04-2025",1624.9959877925,12355.9566340769
40,2024,"Assam","Waste Management",3,"30-04-2025",1196.54763749568,16109.7944044683
41,2024,"Assam","Toys and Games",2,"30-04-2025",756.860110792331,9638.43989356387
42,2024,"Chandigarh","Analytics",1,"30-04-2025",2102.00436228188,21873.8049578705
43,2024,"Chandigarh","AR VR (Augmented + Virtual Reality)",1,"30-04-2025",2097.9354151641,11209.6424550271
