"State","Total_Startups"
"Maharashtra",27925
"Karnataka",16625
"Delhi",16082
"Uttar Pradesh",15020
"Gujarat",13050
"Tamil Nadu",10577
"Telangana",8243
"Haryana",8224
"Kerala",6361
"Rajasthan",5566
"West Bengal",5165
"Madhya Pradesh",5094
"Bihar",3189
"Odisha",2769
"Andhra Pradesh",2552
"Punjab",1740
"Chhattisgarh",1736
"Assam",1487
"Jharkhand",1477
"Uttarakhand",1268
"Jammu and Kashmir",988
"Goa",587
"Himachal Pradesh",563
"Chandigarh",532
"Manipur",179
"Puducherry",161
"Tripura",141
"Nagaland",85
"Andaman and Nicobar Islands",71
"Dadra and Nagar Haveli and Daman and Diu",64
"Meghalaya",62
"Arunachal Pradesh",48
"Mizoram",41
"Ladakh",18
"Sikkim",12
"Lakshadweep",3
